10846792-E_0.35 7884 Maq 1 Alpha 550
CCH,tension
0.934,69.2
0.936,68.3
0.931,69.9
0.921,68.2
0.924,68.3
0.928,69.6
0.927,67.3
0.934,67.9
0.928,68.9
0.93,66.5
0.929,67.4
0.93,64.1
0.929,67.8
0.932,66.9
0.933,66.2
0.931,63.8
0.938,66.8
0.927,67.4
0.93,60.4
0.924,66.8
0.922,64.6
0.93,70.9
0.936,66.4
0.924,69.8
0.925,67.0
0.936,66.4
0.926,64.5
0.935,66.3
0.932,68.0
0.927,66.5
0.934,70.9
0.932,66.5
0.935,68.8
0.93,66.6
0.929,67.3
0.938,68.8
0.935,66.5
0.926,65.7
0.93,66.6
0.931,64.6
0.927,66.1
0.925,65.7
0.928,66.0
0.939,67.1
0.93,66.5
0.927,65.8
0.927,69.4
0.928,69.3
0.935,64.9
0.933,67.2
0.93,67.6
0.936,67.6
0.934,67.3
0.933,66.7
0.931,64.7
0.924,68.7
0.935,68.1
0.931,70.5
0.929,66.1
0.933,65.4
0.934,66.7
0.926,67.2
0.928,63.6
0.927,63.7
0.933,68.0
0.936,69.6
0.921,70.8
0.926,70.5
0.931,65.4
0.937,66.6
0.929,65.6
0.922,64.2
0.929,65.8
0.936,64.9
0.93,70.2
0.923,68.7
0.934,67.3
0.936,69.5
0.929,62.5
0.93,65.0
0.931,65.2
0.933,64.8
0.926,64.7
0.934,66.7
0.937,67.1
0.938,67.8
0.925,69.6
0.927,68.3
0.935,68.1
0.93,69.1
0.936,68.0
0.928,65.8
0.929,64.7
0.932,67.5
0.931,67.7
0.934,65.3
0.929,71.1
0.924,65.5
0.933,66.1
0.936,65.0
