12105232-G_0.35 BN423 Maq 1 Alpha 550
CCH,tension
1.001,64.9
1.004,65.7
1.001,70.0
1.0,68.9
1.0,66.4
1.0,67.6
1.005,69.8
1.001,68.2
1.005,68.8
0.997,66.4
0.992,65.2
1.002,66.3
0.996,70.7
0.993,64.7
1.0,64.9
0.999,66.9
0.999,70.0
0.995,67.6
0.999,69.2
1.004,67.2
0.99,64.9
1.003,66.7
1.0,69.1
0.997,69.6
0.998,70.2
1.006,65.8
0.997,69.5
0.995,68.1
0.998,68.0
0.996,69.9
1.002,70.1
0.993,70.7
0.997,64.0
1.006,66.6
0.996,66.4
0.998,66.1
1.002,68.0
1.005,67.5
1.001,67.4
1.002,63.9
1.002,66.5
0.997,66.8
0.998,67.6
0.997,68.4
1.0,68.9
1.001,65.8
0.992,67.0
0.995,65.0
1.0,67.9
1.004,65.7
0.998,64.8
1.005,68.2
0.997,67.3
0.995,67.8
0.997,65.7
1.002,68.8
1.003,69.6
1.003,69.1
0.999,67.0
0.996,68.0
1.004,71.0
0.998,69.1
0.995,67.4
0.997,65.0
0.997,67.0
1.004,67.2
1.006,67.1
1.005,69.8
1.005,67.2
1.006,68.5
1.003,65.6
0.992,69.3
1.0,66.9
0.999,68.7
0.999,65.7
1.007,67.3
1.002,69.1
0.999,67.8
1.003,69.4
1.003,65.8
1.002,69.0
1.004,66.3
0.998,67.1
1.005,68.5
1.0,68.8
0.994,68.4
1.006,64.8
0.998,65.9
0.998,66.8
1.001,63.5
0.999,67.3
1.003,63.6
0.998,67.6
0.994,66.7
1.011,67.4
0.995,67.4
1.0,66.8
1.002,69.6
1.006,69.4
1.002,63.6
