12105500-A_2 BN564 Maq 1 Alpha 550
CCH,tension
1.649,243.3
1.65,242.4
1.645,245.1
1.649,236.9
1.649,251.7
1.649,238.2
1.654,239.5
1.648,251.2
1.65,236.0
1.648,243.8
1.655,240.8
1.654,240.1
1.645,245.5
1.653,238.3
1.654,238.4
1.65,238.8
1.651,245.0
1.656,240.1
1.65,236.2
1.653,246.6
1.644,237.2
1.651,247.4
1.651,248.3
1.643,252.1
1.651,234.2
1.654,247.2
1.652,248.4
1.649,245.8
1.649,236.5
1.649,245.5
1.645,239.5
1.65,246.2
1.652,247.0
1.648,246.4
1.654,242.7
1.648,244.4
1.645,239.8
1.649,237.5
1.649,244.4
1.653,245.8
1.652,232.0
1.653,244.8
1.65,240.8
1.647,239.2
1.644,243.6
1.656,239.5
1.645,249.0
1.648,248.9
1.648,239.7
1.645,245.6
1.644,242.2
1.65,241.0
1.648,243.9
1.655,238.2
1.653,239.1
1.655,251.1
1.648,233.4
1.654,233.8
1.651,242.6
1.649,247.4
1.655,246.9
1.649,242.4
1.644,245.4
1.651,241.9
1.657,249.2
1.653,240.8
1.649,243.9
1.654,245.2
1.654,245.6
1.648,229.4
1.658,245.0
1.652,241.0
1.649,240.3
1.649,246.6
1.648,244.9
1.653,240.5
1.645,240.3
1.646,232.9
1.645,236.6
1.654,241.3
1.652,231.3
1.65,236.5
1.652,238.6
1.653,238.8
1.649,237.4
1.649,250.5
1.656,239.0
1.649,246.5
1.652,239.3
1.652,243.4
1.647,238.9
1.649,243.4
1.648,238.0
1.641,238.9
1.652,246.0
1.65,247.1
1.65,240.2
1.65,240.9
1.64,239.6
1.649,246.4
