12162921-K_5 5781 Maq 1 Alpha 550
CCH,tension
2.799,387.0
2.798,395.2
2.805,393.4
2.794,389.0
2.794,380.8
2.789,381.3
2.806,399.3
2.804,396.0
2.801,398.5
2.805,393.0
2.807,382.0
2.798,385.9
2.796,403.8
2.79,392.0
2.798,406.1
2.795,399.1
2.796,383.2
2.805,403.6
2.803,399.5
2.8,382.9
2.81,392.5
2.81,409.4
2.801,372.8
2.81,390.9
2.793,400.7
2.806,393.5
2.804,406.1
2.81,381.4
2.806,403.1
2.796,385.3
2.8,392.6
2.792,393.4
2.799,385.8
2.801,401.9
2.806,407.0
2.797,391.0
2.792,397.3
2.795,386.4
2.794,387.8
2.806,400.5
2.808,384.2
2.802,397.7
2.798,393.8
2.793,389.0
2.802,384.2
2.799,406.1
2.791,405.3
2.812,392.6
2.795,399.8
2.794,383.3
2.8,400.6
2.798,377.7
2.804,370.6
2.81,392.5
2.812,407.8
2.803,401.6
2.797,385.3
2.802,388.7
2.808,400.8
2.8,388.1
2.808,393.3
2.796,383.4
2.793,385.9
2.806,379.4
2.8,388.8
2.806,378.4
2.81,378.6
2.798,399.6
2.794,407.8
2.797,406.0
2.797,394.5
2.795,381.5
2.8,398.7
2.797,390.2
2.793,392.8
2.794,391.3
2.792,376.2
2.8,408.5
2.803,370.4
2.789,392.2
2.799,405.9
2.793,375.8
2.799,368.2
2.796,389.5
2.793,389.6
2.793,379.2
2.796,388.8
2.799,400.8
2.803,377.0
2.795,393.1
2.803,389.7
2.806,390.8
2.798,389.6
2.809,390.5
2.798,401.5
2.793,392.8
2.8,380.1
2.796,400.5
2.793,394.6
2.805,390.7
