12186281-C_5 5395 Maq 1 Alpha 550
CCH,tension
2.504,385.2
2.506,386.7
2.495,396.9
2.489,376.4
2.508,386.2
2.498,397.2
2.503,402.9
2.506,389.3
2.493,389.1
2.493,395.7
2.483,385.3
2.494,386.2
2.5,387.0
2.5,390.8
2.502,391.0
2.503,389.2
2.492,387.0
2.488,401.1
2.508,382.3
2.496,381.5
2.496,392.2
2.491,392.0
2.5,384.0
2.492,393.1
2.492,393.7
2.482,392.4
2.501,385.1
2.494,389.4
2.505,394.6
2.5,394.5
2.501,390.8
2.505,398.1
2.499,387.7
2.508,378.6
2.495,407.4
2.508,400.8
2.501,393.2
2.501,395.8
2.506,397.5
2.506,391.2
2.505,381.2
2.502,383.6
2.499,397.2
2.508,389.9
2.504,389.0
2.508,396.5
2.508,396.3
2.504,404.0
2.505,389.4
2.5,400.3
2.497,400.9
2.489,397.8
2.503,385.3
2.496,395.2
2.496,392.0
2.502,392.5
2.502,396.7
2.508,394.2
2.493,382.3
2.499,395.2
2.501,397.9
2.509,383.8
2.493,396.1
2.493,389.6
2.497,396.4
2.499,387.9
2.501,393.5
2.502,392.2
2.498,394.7
2.497,385.8
2.495,386.2
2.507,379.0
2.503,399.1
2.498,390.7
2.491,389.4
2.503,383.5
2.502,389.2
2.505,392.8
2.495,387.9
2.504,396.1
2.499,393.6
2.499,388.6
2.496,388.4
2.51,392.7
2.501,393.8
2.482,386.5
2.496,388.1
2.504,398.3
2.505,388.0
2.508,395.3
2.494,393.0
2.507,385.0
2.497,383.1
2.503,399.6
2.501,401.0
2.503,397.8
2.502,393.6
2.502,382.7
2.503,393.4
2.502,401.1
