13532151-D_1.5 11424 Maq 1 Alpha 550
CCH,tension
1.596,206.9
1.612,201.9
1.597,193.5
1.603,198.1
1.601,211.9
1.606,190.7
1.603,203.1
1.598,201.1
1.605,210.5
1.597,206.6
1.6,192.8
1.604,207.0
1.599,207.1
1.6,196.7
1.598,212.2
1.597,216.8
1.596,185.3
1.604,202.1
1.596,212.1
1.605,181.9
1.617,208.9
1.603,200.8
1.612,211.6
1.589,198.6
1.604,202.9
1.598,211.4
1.6,192.3
1.601,194.8
1.59,203.0
1.588,199.4
1.593,193.8
1.603,216.6
1.602,201.1
1.603,208.5
1.594,206.1
1.6,208.0
1.603,200.4
1.602,202.5
1.596,207.3
1.606,201.5
1.606,195.2
1.602,200.6
1.603,209.1
1.597,202.9
1.607,198.8
1.603,204.8
1.601,192.9
1.611,205.2
1.607,214.8
1.605,198.7
1.591,200.8
1.603,198.0
1.604,205.6
1.596,196.7
1.604,197.9
1.6,201.1
1.599,207.6
1.601,202.2
1.614,215.4
1.596,203.2
1.603,198.7
1.605,201.3
1.596,212.2
1.596,218.1
1.596,202.5
1.602,205.0
1.603,202.6
1.608,203.9
1.601,206.8
1.587,200.1
1.597,213.7
1.599,199.1
1.599,217.1
1.596,192.1
1.593,188.9
1.59,221.2
1.592,208.3
1.597,215.3
1.598,214.5
1.603,221.7
1.611,202.4
1.605,204.2
1.602,209.3
1.597,207.9
1.591,201.7
1.602,205.4
1.606,203.8
1.602,206.4
1.6,194.9
1.599,196.7
1.596,205.1
1.595,198.6
1.599,190.6
1.61,199.1
1.605,203.8
1.602,212.8
1.6,196.2
1.594,198.3
1.6,204.9
1.602,197.1
