13532151-D_1.5 BN427 Maq 1 Alpha 550
CCH,tension
1.599,204.1
1.604,197.0
1.603,205.2
1.598,218.4
1.597,205.8
1.604,203.9
1.603,197.5
1.59,207.2
1.604,209.8
1.602,202.0
1.605,200.0
1.604,197.3
1.598,196.2
1.605,200.1
1.598,198.3
1.594,192.1
1.6,200.6
1.599,211.7
1.599,190.0
1.601,196.0
1.612,212.7
1.593,218.7
1.599,200.9
1.604,210.7
1.604,208.1
1.592,200.4
1.612,185.8
1.601,213.1
1.599,194.7
1.601,178.3
1.603,199.7
1.604,200.7
1.599,204.4
1.598,207.1
1.599,222.1
1.594,188.6
1.599,210.4
1.591,202.3
1.593,212.8
1.593,218.7
1.594,207.2
1.599,206.7
1.592,202.4
1.599,202.7
1.593,204.6
1.59,192.6
1.6,195.3
1.594,186.5
1.599,199.3
1.589,201.7
1.593,194.7
1.605,202.3
1.6,185.5
1.597,205.2
1.609,210.0
1.605,200.1
1.597,193.3
1.613,211.6
1.604,202.3
1.605,207.3
1.601,210.9
1.597,191.6
1.602,200.5
1.59,204.7
1.605,211.5
1.6,221.2
1.597,204.2
1.612,187.8
1.589,203.2
1.596,193.8
1.611,211.0
1.596,206.8
1.6,207.6
1.6,201.8
1.603,192.8
1.6,205.4
1.595,212.3
1.603,190.1
1.608,207.0
1.598,202.4
1.599,226.3
1.592,197.1
1.6,193.1
1.601,214.1
1.597,203.4
1.604,211.9
1.599,205.6
1.598,190.9
1.602,193.1
1.591,215.1
1.599,217.3
1.597,211.3
1.598,198.6
1.601,201.2
1.594,191.0
1.597,189.4
1.604,200.8
1.596,193.2
1.599,203.3
1.602,196.7
