13964782-B_2.5 BN659 Maq 1 Alpha 550
CCH,tension
1.553,284.6
1.55,278.1
1.557,282.0
1.55,292.2
1.554,277.8
1.549,283.8
1.554,281.3
1.554,285.7
1.556,280.9
1.551,276.3
1.546,287.4
1.557,296.9
1.551,294.5
1.542,293.1
1.552,284.2
1.553,284.1
1.552,274.5
1.55,290.3
1.546,287.1
1.553,262.0
1.55,288.9
1.553,282.3
1.555,282.8
1.549,285.7
1.553,286.5
1.549,282.4
1.562,282.1
1.545,285.1
1.554,289.4
1.548,291.3
1.541,271.3
1.545,273.6
1.542,280.2
1.551,272.5
1.547,281.5
1.548,288.7
1.551,279.1
1.549,294.9
1.555,283.0
1.553,284.0
1.55,275.2
1.545,283.4
1.552,286.0
1.553,286.7
1.551,296.5
1.544,292.7
1.542,285.7
1.547,277.4
1.553,287.9
1.554,281.9
1.548,293.5
1.554,285.7
1.548,288.1
1.55,299.3
1.545,278.7
1.543,280.9
1.552,284.7
1.554,285.1
1.538,284.0
1.55,287.4
1.542,290.0
1.55,285.2
1.553,270.7
1.553,279.4
1.552,274.4
1.553,277.0
1.553,275.5
1.545,281.7
1.545,290.1
1.557,270.5
1.546,284.5
1.558,275.3
1.556,283.9
1.548,286.4
1.552,274.6
1.55,280.6
1.549,283.9
1.551,284.8
1.547,293.4
1.546,290.1
1.546,282.9
1.544,276.7
1.556,278.1
1.557,288.8
1.548,267.3
1.549,284.7
1.556,277.0
1.546,282.6
1.547,279.0
1.551,276.6
1.55,279.1
1.553,288.1
1.546,284.3
1.554,284.9
1.546,290.4
1.551,298.1
1.551,284.1
1.548,278.3
1.55,281.4
1.548,273.6
