15380836-A_1 1356 Maq 1 Alpha 550
CCH,tension
1.403,163.4
1.403,148.8
1.399,162.5
1.399,150.2
1.407,144.7
1.411,164.0
1.398,148.4
1.407,153.5
1.4,158.7
1.401,168.6
1.395,152.4
1.403,146.6
1.403,160.2
1.399,179.1
1.414,162.7
1.402,162.8
1.399,167.0
1.403,162.5
1.402,181.6
1.402,159.8
1.394,162.9
1.41,155.9
1.399,170.7
1.399,173.9
1.399,148.7
1.402,183.9
1.402,166.4
1.4,140.9
1.4,151.5
1.402,160.0
1.399,164.6
1.396,165.9
1.394,159.9
1.403,162.2
1.4,167.1
1.39,179.3
1.399,156.8
1.407,166.9
1.407,165.7
1.399,153.3
1.397,167.5
1.399,161.6
1.401,150.9
1.405,174.2
1.401,159.3
1.4,159.8
1.402,162.4
1.399,152.4
1.394,164.6
1.406,161.9
1.398,162.4
1.401,168.3
1.396,175.4
1.405,156.9
1.4,147.5
1.396,161.8
1.404,173.8
1.399,169.0
1.399,166.8
1.393,162.6
1.406,182.5
1.408,180.2
1.396,148.4
1.396,155.5
1.392,157.5
1.403,177.5
1.405,160.7
1.386,132.7
1.402,174.1
1.391,160.9
1.397,160.2
1.395,157.8
1.403,156.3
1.4,164.7
1.403,153.8
1.397,169.5
1.404,155.9
1.403,156.4
1.394,167.9
1.397,162.4
1.384,159.5
1.4,165.0
1.401,151.5
1.396,168.5
1.4,151.5
1.407,169.0
1.392,167.3
1.396,175.6
1.393,167.3
1.407,156.7
1.393,158.2
1.401,155.6
1.404,160.2
1.4,164.5
1.39,161.7
1.402,152.1
1.39,164.5
1.407,160.0
1.395,163.0
1.398,145.5
