15380837-R_1.5 17976 Maq 1 Alpha 550
CCH,tension
1.501,196.8
1.498,205.5
1.493,197.7
1.492,204.3
1.507,207.8
1.503,199.5
1.498,210.6
1.502,208.9
1.505,200.4
1.491,211.6
1.491,201.4
1.505,207.4
1.492,203.3
1.497,201.5
1.498,203.0
1.498,208.3
1.493,212.7
1.491,194.6
1.501,193.7
1.499,193.9
1.506,207.3
1.494,205.2
1.507,211.3
1.502,206.7
1.497,206.5
1.508,199.5
1.502,203.6
1.498,208.0
1.503,201.2
1.498,203.8
1.498,194.6
1.5,190.2
1.496,196.8
1.497,199.3
1.499,207.5
1.499,194.8
1.503,198.3
1.491,207.1
1.5,204.9
1.492,195.0
1.503,211.1
1.502,196.0
1.504,196.4
1.498,214.9
1.501,204.7
1.506,211.1
1.495,202.7
1.494,201.9
1.493,213.6
1.509,202.8
1.5,197.1
1.506,208.5
1.494,188.6
1.496,209.2
1.5,207.8
1.499,211.2
1.508,212.9
1.495,202.6
1.5,201.8
1.514,197.7
1.502,202.8
1.497,202.7
1.495,202.5
1.5,198.5
1.502,199.0
1.498,213.5
1.501,217.0
1.51,217.9
1.507,209.2
1.503,205.4
1.506,202.4
1.503,196.6
1.504,196.8
1.5,202.5
1.504,193.1
1.501,202.6
1.505,200.9
1.497,205.0
1.501,197.8
1.502,199.5
1.499,202.5
1.494,210.1
1.501,206.1
1.496,209.0
1.513,208.6
1.496,199.8
1.504,203.3
1.495,207.3
1.496,206.8
1.49,196.9
1.496,200.1
1.497,202.1
1.499,207.6
1.497,209.0
1.494,205.8
1.484,205.5
1.499,200.8
1.507,211.7
1.49,203.2
1.5,222.3
