33256837-B_10 98 Maq 1 Alpha 550
CCH,tension
3.499,620.8
3.488,650.1
3.484,620.4
3.497,613.8
3.498,636.0
3.501,599.0
3.501,613.8
3.51,541.1
3.495,571.0
3.504,612.2
3.509,669.2
3.504,684.4
3.504,632.9
3.503,606.3
3.492,674.1
3.505,610.8
3.513,583.1
3.485,583.6
3.493,650.3
3.501,638.9
3.504,633.6
3.503,656.4
3.502,620.6
3.499,619.2
3.491,583.6
3.499,520.4
3.492,601.0
3.513,575.1
3.501,587.4
3.496,575.6
3.495,632.9
3.508,591.4
3.499,610.1
3.504,587.8
3.513,620.9
3.494,588.8
3.477,551.2
3.52,606.7
3.499,615.1
3.501,569.6
3.499,560.1
3.493,586.8
3.51,559.0
3.492,592.2
3.477,589.3
3.522,618.6
3.498,641.2
3.497,602.9
3.511,496.7
3.495,533.3
3.507,634.1
3.487,601.4
3.499,625.6
3.493,560.9
3.488,570.6
3.5,618.6
3.517,631.3
3.487,617.9
3.492,659.9
3.492,599.8
3.488,540.8
3.495,638.7
3.505,587.8
3.488,532.9
3.511,576.7
3.501,596.2
3.494,576.5
3.502,600.1
3.498,591.5
3.492,620.0
3.493,638.6
3.506,678.4
3.503,631.0
3.505,629.9
3.505,651.9
3.502,574.5
3.514,579.2
3.497,688.0
3.501,554.6
3.507,659.2
3.487,563.9
3.498,641.0
3.504,588.1
3.494,570.4
3.489,631.9
3.509,566.1
3.501,563.1
3.49,615.4
3.511,594.8
3.512,625.1
3.502,640.3
3.52,623.0
3.502,606.8
3.485,647.4
3.502,580.9
3.505,634.9
3.495,638.1
3.501,602.0
3.503,609.0
3.502,594.5
