33347930-C_0.35 13763 Maq 1 Alpha 550
CCH,tension
0.794,64.8
0.794,65.1
0.794,69.6
0.804,65.5
0.805,66.4
0.803,67.0
0.798,69.1
0.796,69.0
0.797,66.4
0.8,63.7
0.796,71.1
0.796,68.3
0.796,69.1
0.805,67.6
0.792,65.9
0.805,70.4
0.799,68.5
0.798,67.6
0.804,67.4
0.802,67.5
0.806,68.8
0.791,68.6
0.798,66.1
0.803,68.5
0.797,68.5
0.802,65.9
0.802,67.4
0.798,65.6
0.801,66.0
0.795,67.8
0.799,67.4
0.804,66.3
0.799,69.1
0.795,69.6
0.807,68.4
0.801,68.7
0.803,67.3
0.8,68.7
0.798,69.4
0.792,68.1
0.797,65.7
0.799,66.8
0.799,69.3
0.809,68.6
0.806,67.4
0.793,69.5
0.804,69.2
0.801,62.6
0.806,66.7
0.801,69.4
0.797,68.0
0.793,67.4
0.801,69.9
0.795,67.3
0.8,68.0
0.803,67.2
0.806,69.8
0.803,66.7
0.796,65.5
0.799,62.7
0.8,69.6
0.802,67.0
0.796,64.1
0.797,68.7
0.794,67.4
0.806,69.6
0.8,66.4
0.798,65.9
0.801,67.8
0.795,66.8
0.801,64.3
0.801,70.6
0.794,66.0
0.803,66.3
0.798,67.3
0.798,67.0
0.798,68.1
0.796,68.7
0.798,65.2
0.804,69.1
0.8,68.6
0.798,67.2
0.794,71.0
0.796,69.5
0.808,67.9
0.8,66.0
0.8,67.7
0.802,70.0
0.802,68.0
0.795,69.2
0.805,65.0
0.796,68.9
0.803,69.7
0.792,69.0
0.802,68.7
0.797,63.9
0.796,65.2
0.799,70.6
0.803,68.8
0.794,65.0
