35072403-A_0.5 BN782 Maq 1 Alpha 550
CCH,tension
0.961,106.1
0.947,107.1
0.959,104.2
0.941,102.2
0.932,103.7
0.95,106.4
0.951,96.8
0.954,77.9
0.956,110.2
0.954,99.4
0.943,105.1
0.959,100.8
0.953,109.6
0.945,96.9
0.946,101.8
0.946,97.2
0.952,97.0
0.946,99.8
0.956,101.7
0.94,105.0
0.947,96.8
0.955,97.7
0.944,96.4
0.937,107.3
0.949,100.7
0.943,101.5
0.943,106.2
0.955,90.9
0.951,102.4
0.947,97.3
0.95,95.0
0.953,96.1
0.952,96.0
0.941,100.4
0.945,98.0
0.961,100.2
0.946,104.4
0.941,99.4
0.958,106.7
0.949,99.5
0.946,105.5
0.955,106.7
0.952,93.1
0.938,105.8
0.954,100.3
0.95,90.7
0.953,98.5
0.948,98.2
0.943,102.2
0.952,95.1
0.947,108.0
0.956,99.3
0.948,99.6
0.946,113.3
0.953,94.7
0.956,100.0
0.951,93.8
0.948,101.5
0.957,94.6
0.946,99.3
0.955,109.3
0.946,97.4
0.95,101.6
0.956,100.6
0.942,103.5
0.955,105.8
0.953,100.5
0.941,104.2
0.952,102.2
0.948,88.1
0.947,92.5
0.95,99.1
0.953,98.3
0.955,97.2
0.948,106.9
0.957,104.6
0.941,101.0
0.955,99.2
0.949,98.8
0.946,106.6
0.955,100.8
0.962,108.3
0.954,98.2
0.951,96.2
0.957,96.3
0.944,102.1
0.936,96.6
0.95,104.1
0.947,102.7
0.95,103.3
0.943,103.0
0.942,107.5
0.945,97.5
0.954,101.7
0.948,97.7
0.944,99.2
0.947,108.2
0.953,96.0
0.957,102.9
0.952,101.2
