35091061-F_0.7 5381 Maq 1 Alpha 550
CCH,tension
1.044,71.2
1.046,70.6
1.057,61.7
1.049,64.6
1.044,60.0
1.057,63.3
1.051,66.1
1.063,73.3
1.055,68.6
1.049,62.2
1.055,67.1
1.051,63.4
1.045,68.0
1.049,67.0
1.053,71.6
1.047,64.5
1.042,71.5
1.046,72.4
1.06,65.7
1.048,70.1
1.051,74.6
1.048,61.2
1.051,78.3
1.047,70.6
1.044,75.1
1.042,64.1
1.051,64.9
1.047,70.5
1.045,64.9
1.046,71.2
1.047,69.6
1.05,65.9
1.051,69.9
1.049,72.6
1.051,62.3
1.05,70.9
1.065,59.2
1.052,77.5
1.045,60.7
1.044,69.9
1.047,68.8
1.05,63.6
1.054,71.0
1.054,62.5
1.04,70.6
1.054,65.7
1.06,70.2
1.055,67.8
1.06,56.0
1.058,56.2
1.057,70.0
1.051,64.3
1.058,67.4
1.038,63.7
1.049,59.1
1.053,64.4
1.052,72.8
1.055,63.5
1.044,71.1
1.05,74.1
1.044,68.4
1.045,69.2
1.049,75.8
1.043,65.0
1.054,74.1
1.05,65.6
1.056,56.6
1.051,66.5
1.049,66.9
1.061,60.1
1.055,67.7
1.04,64.5
1.043,63.4
1.054,63.3
1.043,58.6
1.054,78.6
1.047,71.4
1.056,63.8
1.05,69.6
1.048,76.6
1.05,70.4
1.046,65.1
1.046,58.4
1.057,75.1
1.061,68.3
1.039,72.5
1.049,70.3
1.052,63.1
1.052,67.5
1.052,67.8
1.057,66.2
1.043,72.4
1.045,71.7
1.042,67.9
1.048,64.5
1.039,60.0
1.052,65.1
1.046,72.9
1.047,73.7
1.045,73.8
