35091062-A_0.5 756 Maq 1 Alpha 550
CCH,tension
0.948,104.9
0.943,108.6
0.953,107.8
0.955,112.3
0.957,106.8
0.953,97.2
0.946,96.8
0.953,94.1
0.956,100.9
0.953,97.4
0.948,104.3
0.946,106.7
0.948,95.3
0.947,98.0
0.945,99.1
0.947,100.4
0.947,105.8
0.948,110.6
0.947,110.5
0.956,106.2
0.958,99.4
0.958,96.8
0.946,105.7
0.95,103.1
0.948,111.0
0.954,100.7
0.947,102.4
0.94,100.3
0.941,107.4
0.954,97.0
0.942,91.1
0.949,99.6
0.951,106.8
0.952,104.4
0.954,103.6
0.952,104.8
0.952,93.5
0.961,99.2
0.95,97.4
0.958,87.8
0.946,102.6
0.946,95.9
0.953,92.9
0.951,107.3
0.952,98.2
0.952,91.6
0.941,113.2
0.953,101.0
0.946,91.9
0.954,105.4
0.946,103.3
0.953,99.0
0.945,101.5
0.951,108.1
0.943,95.1
0.946,91.7
0.953,97.7
0.949,108.1
0.955,99.9
0.948,94.4
0.953,90.8
0.956,102.4
0.952,103.6
0.949,99.5
0.952,98.0
0.95,95.4
0.952,108.7
0.947,98.4
0.951,105.0
0.954,96.1
0.949,102.2
0.946,94.9
0.957,102.7
0.952,111.4
0.954,106.0
0.949,108.9
0.95,97.5
0.949,100.5
0.951,104.2
0.944,90.8
0.948,98.0
0.956,101.5
0.954,102.1
0.948,102.8
0.956,102.6
0.953,110.4
0.947,102.7
0.955,106.0
0.955,105.6
0.961,104.1
0.953,103.1
0.946,90.4
0.948,87.7
0.954,94.6
0.955,109.8
0.944,101.0
0.946,109.5
0.951,105.8
0.943,110.9
0.935,103.4
