35267294-D_1 1333 Maq 1 Alpha 550
CCH,tension
1.101,168.7
1.103,166.3
1.1,158.6
1.099,162.7
1.106,163.5
1.105,159.5
1.105,161.7
1.103,169.6
1.101,146.0
1.099,148.9
1.096,155.9
1.095,169.4
1.094,158.9
1.104,164.5
1.098,156.5
1.102,165.0
1.105,176.4
1.097,158.2
1.099,168.5
1.093,155.3
1.099,166.7
1.094,156.3
1.108,155.7
1.097,169.6
1.104,171.4
1.103,162.6
1.098,163.5
1.1,161.9
1.098,151.9
1.1,170.6
1.103,164.6
1.103,161.5
1.099,155.3
1.107,158.8
1.1,147.1
1.098,158.8
1.099,160.0
1.099,158.9
1.099,167.8
1.101,159.0
1.102,151.7
1.097,168.7
1.105,156.9
1.102,164.8
1.097,164.0
1.103,167.7
1.102,167.8
1.101,170.5
1.101,156.1
1.102,172.1
1.096,159.9
1.099,147.8
1.095,159.3
1.104,173.5
1.101,156.9
1.104,151.7
1.099,162.6
1.104,158.8
1.095,167.9
1.099,158.6
1.099,159.0
1.105,156.5
1.1,163.7
1.094,159.2
1.102,160.8
1.097,162.1
1.101,162.6
1.1,164.6
1.094,164.8
1.095,163.4
1.103,174.2
1.104,170.6
1.106,168.8
1.097,162.0
1.1,157.7
1.101,151.8
1.102,167.2
1.103,151.8
1.104,163.1
1.107,161.0
1.102,167.4
1.098,161.3
1.103,150.0
1.098,164.7
1.103,164.3
1.105,161.1
1.103,162.8
1.1,147.8
1.099,163.8
1.103,170.0
1.098,170.9
1.098,158.8
1.099,181.5
1.106,170.6
1.101,160.9
1.093,164.3
1.092,159.7
1.107,160.7
1.11,171.3
1.096,165.4
