35410019-B_0.35 11232 Maq 1 Alpha 550
CCH,tension
0.811,69.1
0.812,67.1
0.808,65.1
0.811,68.0
0.815,66.2
0.811,67.9
0.815,66.6
0.81,65.0
0.804,66.7
0.813,67.0
0.807,65.3
0.81,66.9
0.815,72.1
0.815,67.6
0.807,67.7
0.808,65.1
0.817,70.2
0.807,68.0
0.813,69.7
0.807,68.9
0.807,66.5
0.81,70.5
0.818,68.6
0.811,63.9
0.816,66.9
0.805,64.8
0.817,67.2
0.809,63.8
0.809,67.9
0.809,70.6
0.813,66.4
0.805,67.1
0.807,65.1
0.811,70.2
0.807,69.9
0.807,67.0
0.808,65.1
0.808,69.1
0.81,66.5
0.813,66.2
0.813,68.6
0.805,68.0
0.806,68.4
0.81,66.0
0.811,65.6
0.813,70.0
0.809,66.7
0.806,67.8
0.816,67.5
0.809,66.3
0.815,71.9
0.815,66.3
0.803,59.8
0.807,70.4
0.813,69.8
0.811,70.5
0.811,69.1
0.806,65.6
0.808,72.0
0.799,67.1
0.809,68.1
0.812,66.3
0.813,68.1
0.809,65.8
0.806,67.1
0.813,67.3
0.809,67.6
0.813,69.2
0.812,66.1
0.807,68.4
0.81,66.6
0.815,65.1
0.805,65.4
0.811,70.9
0.813,68.9
0.807,72.4
0.812,66.0
0.804,64.9
0.808,64.3
0.807,69.6
0.811,64.6
0.811,65.6
0.807,65.7
0.808,69.8
0.812,64.9
0.806,66.2
0.812,67.8
0.798,65.6
0.811,70.8
0.803,67.3
0.818,69.1
0.803,69.2
0.809,68.0
0.81,67.8
0.812,68.3
0.815,66.8
0.807,66.9
0.812,67.6
0.815,66.6
0.813,68.1
