10725740-B_2.5 1382 Maq 30 Alpha 488 - S
CCH,tension
1.651,289.7
1.654,285.7
1.653,290.6
1.652,288.8
1.65,282.3
1.654,291.2
1.653,271.8
1.656,292.3
1.652,289.4
1.648,278.7
1.644,286.0
1.649,287.9
1.652,290.1
1.642,279.3
1.647,281.7
1.651,274.6
1.645,287.5
1.652,281.5
1.655,287.7
1.652,289.7
1.648,292.5
1.658,264.5
1.638,291.7
1.645,282.8
1.658,288.1
1.647,285.0
1.64,286.3
1.653,275.9
1.654,270.2
1.658,284.7
1.643,287.5
1.656,277.8
1.653,292.8
1.649,285.0
1.645,282.3
1.639,291.5
1.646,280.8
1.651,281.3
1.649,284.2
1.661,286.6
1.648,277.7
1.643,294.0
1.649,290.4
1.646,272.1
1.65,282.4
1.645,278.5
1.65,277.6
1.651,285.8
1.649,292.6
1.65,293.6
1.642,294.4
1.649,295.5
1.652,284.3
1.65,283.6
1.648,279.0
1.644,289.3
1.644,293.3
1.655,281.4
1.652,287.1
1.651,286.2
1.646,277.0
1.646,284.7
1.658,291.2
1.646,281.7
1.644,284.1
1.643,287.6
1.644,284.7
1.654,274.4
1.655,282.1
1.654,277.3
1.655,280.0
1.647,281.9
1.65,282.7
1.656,307.1
1.649,280.3
1.652,295.6
1.655,290.0
1.652,286.0
1.644,287.9
1.641,291.3
1.65,270.9
1.653,269.7
1.65,272.8
1.648,278.1
1.647,281.7
1.645,280.4
1.65,287.9
1.651,291.4
1.649,290.7
1.644,289.0
1.649,274.5
1.65,274.0
1.653,287.6
1.646,285.9
1.661,287.8
1.649,285.2
1.649,277.6
1.646,284.6
1.65,281.0
1.643,289.5
