10846792-E_0.35 7884 Maq 30 Alpha 488 - S
CCH,tension
0.93,67.4
0.939,67.3
0.932,66.2
0.925,68.0
0.921,67.9
0.939,66.1
0.928,67.0
0.928,66.8
0.927,67.8
0.931,65.6
0.932,66.6
0.929,67.5
0.925,67.1
0.933,66.6
0.936,68.2
0.931,67.3
0.929,69.1
0.93,67.8
0.932,68.0
0.93,67.2
0.923,67.4
0.931,67.0
0.926,68.4
0.929,66.1
0.93,67.2
0.928,67.8
0.932,65.9
0.93,68.3
0.926,66.7
0.93,68.4
0.933,67.1
0.923,67.4
0.936,68.2
0.927,67.5
0.927,67.1
0.932,68.8
0.932,66.1
0.931,67.4
0.932,66.6
0.931,68.0
0.929,66.6
0.933,66.2
0.927,67.3
0.927,68.2
0.926,67.3
0.925,64.6
0.932,68.2
0.928,67.4
0.931,68.3
0.929,65.8
0.937,67.7
0.927,66.2
0.926,66.5
0.93,69.8
0.93,66.8
0.932,67.9
0.926,68.1
0.935,67.0
0.931,68.1
0.924,67.0
0.924,68.1
0.935,69.0
0.932,67.5
0.934,66.8
0.933,69.1
0.93,67.5
0.934,69.1
0.925,68.9
0.93,66.5
0.932,67.2
0.925,66.3
0.93,68.9
0.927,65.3
0.94,68.5
0.929,68.0
0.924,67.7
0.932,68.5
0.929,67.1
0.926,68.2
0.929,67.2
0.927,68.7
0.927,66.3
0.924,66.0
0.934,67.6
0.931,66.0
0.934,66.4
0.931,68.2
0.929,67.7
0.933,65.7
0.929,70.2
0.932,68.3
0.933,67.6
0.929,67.7
0.933,67.3
0.933,66.3
0.934,67.6
0.925,68.6
0.933,67.5
0.924,68.4
0.936,69.0
