12105232-G_0.35 BN423 Maq 30 Alpha 488 - S
CCH,tension
1.005,67.6
1.0,67.6
0.999,67.2
1.001,67.9
0.997,67.1
1.0,67.4
1.001,65.8
0.996,69.2
1.005,67.1
0.999,67.9
0.999,67.3
1.0,67.8
0.996,67.8
0.997,67.1
1.004,67.4
1.001,68.6
1.0,67.5
1.002,68.1
0.999,67.8
0.996,69.1
0.997,68.8
0.993,69.5
0.997,66.7
1.002,66.4
1.0,67.7
1.004,67.2
0.996,68.3
0.999,67.1
1.003,67.9
0.999,66.6
1.004,66.4
1.005,67.6
0.996,67.6
0.989,68.7
1.0,67.3
0.999,70.2
0.995,67.1
0.997,68.7
0.997,67.9
0.999,66.7
0.997,68.2
1.002,67.3
1.001,68.4
1.001,68.5
0.995,67.3
1.001,68.7
1.007,67.9
1.004,69.6
0.997,66.7
0.998,67.8
1.0,68.6
1.006,67.6
1.003,66.6
0.996,66.7
1.001,66.7
0.998,68.5
0.995,67.3
0.998,66.6
1.003,67.7
1.001,67.7
1.002,66.9
1.001,67.8
1.004,65.1
1.007,68.4
0.996,68.8
1.0,67.2
0.997,68.9
1.002,66.4
0.996,67.9
0.996,67.7
1.01,68.3
1.004,67.6
0.995,66.7
0.999,67.3
0.999,68.1
0.997,68.3
1.002,67.7
0.997,69.3
0.991,66.8
1.0,69.9
1.006,66.1
0.995,67.1
1.0,67.3
1.003,67.3
1.0,66.4
0.995,66.7
1.003,67.9
1.004,69.1
0.997,66.6
1.001,68.0
0.999,68.2
1.006,66.0
0.995,67.6
0.992,68.3
0.997,67.2
0.998,67.6
0.999,68.6
1.001,68.8
1.004,66.9
0.992,70.4
