12162921-K_5 5882 Maq 30 Alpha 488 - S
CCH,tension
2.791,384.0
2.804,389.7
2.804,396.9
2.807,399.5
2.8,398.9
2.797,384.9
2.801,376.4
2.806,393.3
2.795,412.0
2.804,379.0
2.804,390.1
2.804,392.8
2.801,393.8
2.798,410.3
2.793,380.6
2.808,408.9
2.798,394.7
2.802,401.8
2.793,371.8
2.795,408.6
2.805,392.8
2.8,383.5
2.8,394.1
2.807,381.4
2.8,378.8
2.796,405.2
2.801,399.8
2.792,383.3
2.793,382.5
2.798,407.3
2.801,391.2
2.791,385.1
2.797,394.9
2.803,396.8
2.805,382.4
2.8,393.5
2.803,388.8
2.801,374.3
2.8,393.8
2.795,397.4
2.799,384.2
2.804,397.1
2.802,408.8
2.807,388.7
2.806,397.5
2.794,375.2
2.803,406.2
2.799,392.9
2.801,388.1
2.8,388.1
2.799,383.4
2.792,380.2
2.796,400.9
2.813,383.9
2.799,390.5
2.804,389.3
2.802,382.1
2.8,390.5
2.798,388.9
2.807,394.9
2.807,391.2
2.796,388.4
2.795,390.1
2.798,396.9
2.799,388.2
2.802,388.3
2.802,403.6
2.8,390.8
2.8,386.7
2.795,390.9
2.796,387.9
2.805,381.0
2.801,391.7
2.802,386.0
2.799,400.9
2.805,377.6
2.797,396.7
2.8,403.2
2.8,394.8
2.801,390.4
2.804,389.5
2.801,392.4
2.804,391.2
2.796,395.5
2.799,382.4
2.794,402.9
2.794,384.6
2.796,383.7
2.796,394.0
2.8,395.3
2.799,380.9
2.793,388.7
2.804,406.0
2.798,378.1
2.799,386.0
2.8,393.8
2.8,395.4
2.807,400.4
2.807,394.2
2.792,397.0
