12186281-C_5 5395 Maq 30 Alpha 488 - S
CCH,tension
2.5,402.2
2.503,404.9
2.499,383.9
2.498,383.8
2.504,386.9
2.509,390.0
2.495,395.6
2.496,402.3
2.496,377.3
2.502,398.8
2.498,400.4
2.495,385.5
2.505,383.5
2.5,390.7
2.499,406.4
2.496,385.9
2.5,395.7
2.498,387.3
2.496,396.6
2.499,397.1
2.5,395.3
2.499,412.7
2.503,400.3
2.501,388.5
2.504,399.6
2.501,388.4
2.506,404.3
2.498,395.4
2.504,377.5
2.498,373.2
2.506,380.2
2.496,393.2
2.498,394.0
2.499,384.9
2.488,387.8
2.504,375.0
2.504,387.4
2.5,392.2
2.499,387.6
2.499,384.5
2.495,393.2
2.508,390.7
2.502,390.4
2.508,389.8
2.496,389.5
2.501,407.1
2.497,378.8
2.501,393.6
2.497,385.4
2.496,381.5
2.5,386.9
2.498,388.5
2.505,393.2
2.495,399.2
2.5,380.9
2.501,376.0
2.495,387.7
2.5,382.5
2.504,394.8
2.505,393.1
2.494,384.8
2.5,382.4
2.497,395.7
2.496,377.0
2.499,393.9
2.5,383.1
2.507,398.6
2.499,390.8
2.499,398.5
2.507,381.1
2.497,392.3
2.502,402.0
2.496,383.3
2.497,408.4
2.501,393.1
2.502,395.3
2.509,384.4
2.496,399.9
2.496,388.5
2.502,392.6
2.492,389.8
2.505,382.3
2.503,393.7
2.507,401.3
2.495,397.8
2.504,397.5
2.502,394.9
2.503,406.2
2.501,388.8
2.497,383.1
2.511,387.0
2.504,379.2
2.501,405.9
2.497,393.8
2.499,412.4
2.504,390.6
2.496,399.5
2.493,386.7
2.507,393.8
2.495,390.5
