13532150-A_1 5444 Maq 30 Alpha 488 - S
CCH,tension
1.346,169.1
1.357,175.5
1.353,153.5
1.351,163.9
1.355,158.6
1.35,155.4
1.346,167.0
1.351,170.3
1.35,166.8
1.353,150.2
1.349,182.4
1.352,159.1
1.346,161.8
1.353,168.0
1.344,147.7
1.35,175.9
1.361,149.0
1.347,158.0
1.357,155.2
1.354,152.6
1.353,156.3
1.343,160.4
1.351,156.0
1.347,170.6
1.349,158.7
1.348,176.9
1.35,159.4
1.348,169.9
1.353,146.0
1.353,155.2
1.35,185.6
1.355,159.9
1.353,159.2
1.355,163.0
1.349,162.2
1.35,162.0
1.353,167.8
1.347,158.5
1.353,159.6
1.345,171.0
1.341,170.8
1.349,156.4
1.346,151.9
1.352,163.3
1.356,164.3
1.349,156.2
1.361,171.0
1.346,159.4
1.351,155.9
1.355,147.1
1.348,171.7
1.345,172.5
1.35,155.6
1.354,167.5
1.35,151.1
1.344,159.9
1.349,164.7
1.351,166.9
1.349,150.9
1.343,147.1
1.351,147.6
1.347,151.7
1.348,169.8
1.352,164.3
1.355,168.8
1.355,152.1
1.36,156.5
1.353,158.8
1.35,164.1
1.349,173.9
1.361,173.4
1.352,160.6
1.353,149.3
1.35,169.9
1.349,166.0
1.346,166.6
1.351,156.7
1.342,153.6
1.35,172.7
1.35,170.6
1.354,163.0
1.346,148.7
1.352,175.4
1.356,168.1
1.347,158.0
1.354,166.7
1.347,160.1
1.352,156.0
1.345,159.9
1.349,168.5
1.358,161.8
1.351,165.0
1.357,149.2
1.351,144.5
1.343,164.9
1.349,165.4
1.363,169.3
1.35,174.0
1.342,165.8
1.349,167.1
