13532151-D_1.5 BN427 Maq 30 Alpha 488 - S
CCH,tension
1.599,201.2
1.6,193.9
1.591,206.5
1.601,198.1
1.597,210.3
1.607,214.6
1.599,202.4
1.603,194.6
1.611,205.7
1.606,191.9
1.61,211.0
1.599,201.8
1.601,197.3
1.598,207.0
1.601,191.4
1.605,194.7
1.601,193.2
1.6,197.5
1.603,198.5
1.598,206.8
1.6,206.6
1.606,199.2
1.598,210.8
1.602,207.6
1.599,201.1
1.611,203.1
1.599,204.2
1.607,194.5
1.613,191.5
1.601,207.2
1.598,205.6
1.599,202.4
1.602,207.2
1.602,197.0
1.605,199.5
1.601,211.0
1.6,201.1
1.601,201.0
1.595,199.7
1.599,206.9
1.597,195.5
1.602,200.6
1.602,209.3
1.594,198.1
1.598,197.4
1.585,203.6
1.596,191.4
1.61,203.5
1.602,205.6
1.607,197.3
1.608,197.6
1.601,207.0
1.6,205.8
1.597,199.4
1.603,216.7
1.609,206.2
1.599,194.6
1.598,202.0
1.601,204.9
1.595,203.7
1.605,202.4
1.605,208.4
1.606,215.8
1.597,201.2
1.599,198.3
1.607,195.2
1.604,198.0
1.602,202.5
1.605,198.4
1.595,205.8
1.602,209.1
1.592,198.1
1.596,204.4
1.598,200.1
1.599,200.5
1.604,195.4
1.601,202.6
1.596,195.4
1.596,194.0
1.598,191.2
1.6,202.3
1.596,200.3
1.601,213.1
1.604,201.8
1.602,205.9
1.595,203.9
1.593,208.4
1.587,204.6
1.594,207.0
1.597,202.7
1.602,204.2
1.608,196.3
1.597,194.2
1.598,208.5
1.604,201.8
1.602,200.5
1.604,207.1
1.602,202.9
1.601,210.7
1.604,207.0
