13964782-B_2.5 BN659 Maq 30 Alpha 488 - S
CCH,tension
1.552,276.9
1.543,293.4
1.548,279.8
1.546,293.9
1.545,272.3
1.544,302.2
1.552,279.2
1.545,287.4
1.546,282.1
1.55,281.3
1.548,281.4
1.545,279.1
1.546,279.2
1.551,290.9
1.556,288.1
1.557,283.0
1.549,292.1
1.552,289.4
1.551,286.1
1.547,279.9
1.544,287.2
1.546,270.9
1.554,297.8
1.55,277.6
1.544,281.8
1.549,291.1
1.551,304.1
1.552,277.2
1.54,280.9
1.548,276.1
1.55,283.4
1.545,286.9
1.554,279.9
1.543,270.4
1.549,292.5
1.545,284.7
1.549,281.9
1.551,279.1
1.55,282.3
1.551,287.7
1.55,290.6
1.556,289.7
1.555,283.0
1.547,269.7
1.552,288.1
1.545,278.8
1.556,279.7
1.556,278.7
1.548,294.8
1.551,274.0
1.554,279.3
1.546,286.4
1.555,275.9
1.549,285.3
1.55,276.5
1.549,281.5
1.553,299.6
1.547,287.9
1.56,276.6
1.552,292.3
1.552,288.6
1.552,300.5
1.544,291.7
1.546,287.5
1.558,266.9
1.546,272.7
1.549,284.0
1.549,279.4
1.549,277.6
1.553,275.0
1.549,278.8
1.55,288.5
1.559,289.0
1.548,284.3
1.551,280.2
1.546,286.9
1.556,284.0
1.555,294.6
1.548,293.1
1.545,297.0
1.546,282.2
1.547,286.5
1.549,279.6
1.555,283.4
1.543,286.3
1.549,277.4
1.55,297.8
1.546,281.2
1.554,291.8
1.553,288.5
1.544,280.7
1.55,270.3
1.552,279.7
1.546,273.6
1.551,285.9
1.548,285.2
1.548,286.5
1.553,279.2
1.544,287.2
1.547,287.0
