15327259-D_2.5 2113 Maq 30 Alpha 488 - S
CCH,tension
1.703,282.2
1.699,285.4
1.699,281.2
1.706,288.1
1.702,289.1
1.692,279.3
1.698,282.3
1.694,282.9
1.701,283.1
1.705,287.4
1.706,284.1
1.7,278.1
1.705,277.5
1.704,288.9
1.704,286.7
1.706,286.1
1.697,283.4
1.7,283.7
1.697,292.1
1.704,281.6
1.701,288.7
1.701,281.9
1.701,281.4
1.698,283.1
1.699,288.8
1.698,274.1
1.703,280.2
1.701,291.4
1.702,277.5
1.701,281.6
1.694,279.9
1.705,271.7
1.696,295.3
1.702,288.5
1.696,288.3
1.694,284.7
1.698,272.1
1.701,281.0
1.696,286.0
1.701,284.9
1.695,276.2
1.7,278.3
1.71,293.2
1.694,281.9
1.702,293.6
1.712,284.4
1.694,286.1
1.695,279.9
1.704,289.7
1.706,289.9
1.691,278.3
1.703,280.9
1.702,286.9
1.698,287.1
1.699,281.5
1.697,283.6
1.699,283.7
1.697,287.8
1.699,286.4
1.694,292.7
1.695,284.3
1.705,276.7
1.697,283.8
1.702,284.5
1.698,290.2
1.701,283.2
1.697,281.7
1.705,280.3
1.704,284.0
1.701,290.5
1.696,287.2
1.696,283.2
1.693,274.2
1.696,281.9
1.699,286.4
1.692,288.0
1.703,287.9
1.705,278.7
1.701,279.5
1.696,292.0
1.698,286.0
1.697,276.8
1.707,278.8
1.69,291.0
1.7,281.2
1.699,282.9
1.701,277.2
1.705,275.6
1.697,277.0
1.699,283.0
1.693,286.5
1.702,282.4
1.697,279.6
1.702,291.9
1.705,285.6
1.699,284.5
1.704,277.4
1.699,272.9
1.701,288.8
1.697,280.7
