15380837-R_1.5 17976 Maq 30 Alpha 488 - S
CCH,tension
1.503,204.4
1.5,201.6
1.503,197.1
1.5,205.2
1.504,203.1
1.501,206.2
1.501,207.0
1.49,200.6
1.503,204.1
1.502,204.7
1.5,208.7
1.505,213.6
1.498,204.7
1.502,198.5
1.498,204.1
1.501,201.1
1.502,207.6
1.5,198.6
1.506,200.0
1.501,197.4
1.496,202.5
1.503,204.2
1.505,205.2
1.498,211.1
1.504,206.9
1.498,198.9
1.505,199.6
1.505,202.2
1.504,199.3
1.496,212.2
1.5,213.8
1.494,206.3
1.502,198.9
1.5,195.8
1.504,208.6
1.497,205.6
1.494,208.8
1.496,204.4
1.5,206.6
1.496,207.3
1.497,210.6
1.508,201.8
1.502,197.8
1.496,203.3
1.504,206.1
1.507,197.4
1.496,201.0
1.508,209.5
1.498,196.5
1.496,199.3
1.501,199.7
1.5,209.7
1.495,200.5
1.504,200.4
1.505,202.2
1.502,196.2
1.499,202.7
1.496,202.7
1.501,190.4
1.495,207.5
1.508,200.7
1.5,204.6
1.507,204.1
1.497,204.4
1.503,206.4
1.495,197.2
1.501,195.4
1.499,197.5
1.502,204.5
1.493,209.6
1.496,202.0
1.502,196.3
1.497,200.3
1.495,199.3
1.508,200.2
1.501,205.1
1.499,199.9
1.498,195.1
1.494,201.7
1.499,200.5
1.491,191.6
1.497,191.2
1.504,197.2
1.496,200.1
1.503,200.1
1.5,207.2
1.506,208.8
1.507,197.5
1.493,206.9
1.494,209.7
1.501,209.4
1.499,201.3
1.493,202.6
1.5,203.3
1.504,200.1
1.506,203.2
1.495,201.8
1.497,200.6
1.499,193.0
1.495,199.0
