15432235-A_0.5 15839 Maq 30 Alpha 488 - S
CCH,tension
0.998,97.3
0.995,102.9
0.997,102.2
0.996,99.7
0.995,106.0
1.006,94.8
0.998,113.1
0.993,104.7
0.997,88.4
0.999,114.0
1.0,103.9
1.002,100.1
1.003,100.3
1.008,101.0
0.998,105.2
0.998,99.9
0.997,104.7
1.005,100.2
0.998,98.6
0.992,101.0
0.998,102.9
0.992,89.8
1.0,99.8
1.002,104.5
1.005,99.7
1.0,106.9
1.0,97.1
0.992,102.2
0.998,96.3
1.007,106.2
0.996,102.5
1.001,92.1
0.999,99.0
1.002,107.7
1.006,104.1
0.997,96.8
1.006,103.3
1.002,111.5
1.002,98.7
1.01,107.4
1.002,102.0
1.006,99.8
1.003,99.1
1.002,106.7
0.993,110.5
0.997,100.6
0.998,90.3
1.007,93.4
1.0,105.4
0.999,100.3
0.994,99.0
1.0,99.2
1.003,97.5
1.001,95.9
0.994,100.9
1.004,104.8
1.0,102.3
1.002,97.7
1.001,102.6
1.002,101.4
1.003,104.7
1.002,108.2
1.0,106.5
0.999,96.5
0.997,90.8
0.998,98.2
1.003,102.6
1.0,103.5
1.001,104.1
1.001,100.7
1.005,101.1
1.0,100.4
1.001,110.5
1.003,102.2
0.998,101.2
0.999,100.7
0.997,111.8
0.99,103.1
1.0,97.0
1.003,108.7
1.001,99.2
0.999,98.5
1.005,98.4
0.997,98.3
1.0,111.8
0.998,105.6
0.999,104.0
0.997,98.0
1.003,107.7
0.995,107.7
1.001,101.2
0.997,99.4
1.003,102.6
0.998,103.6
0.999,112.3
0.998,98.2
0.996,99.1
1.006,98.6
1.003,106.9
0.999,97.6
