15446674-A_0.5 BN54 Maq 30 Alpha 488 - S
CCH,tension
1.252,104.3
1.25,101.7
1.244,107.0
1.262,92.0
1.245,94.8
1.25,100.6
1.256,94.3
1.251,101.2
1.245,102.6
1.25,96.8
1.247,90.4
1.245,92.5
1.251,99.9
1.257,103.1
1.245,98.5
1.241,99.6
1.236,104.8
1.234,93.6
1.255,96.3
1.253,98.8
1.248,101.2
1.248,104.3
1.246,98.1
1.248,100.5
1.258,97.1
1.254,102.8
1.248,102.8
1.25,112.6
1.252,102.6
1.257,104.5
1.248,113.9
1.24,107.4
1.243,107.2
1.236,91.3
1.257,109.9
1.258,101.9
1.255,98.4
1.259,100.1
1.236,105.4
1.256,93.4
1.26,99.9
1.241,111.2
1.247,96.8
1.249,107.0
1.244,100.2
1.259,99.7
1.248,106.5
1.258,98.4
1.255,99.2
1.24,101.9
1.248,102.6
1.242,98.8
1.251,101.3
1.256,101.7
1.256,105.1
1.246,102.5
1.255,105.4
1.251,104.8
1.252,98.0
1.255,105.4
1.256,101.2
1.247,108.9
1.249,104.0
1.255,110.2
1.255,95.2
1.24,99.7
1.246,106.6
1.244,108.2
1.251,102.9
1.261,99.4
1.259,95.5
1.255,105.0
1.237,102.6
1.257,103.9
1.252,89.2
1.236,98.2
1.245,105.1
1.246,98.0
1.253,100.3
1.254,97.5
1.247,106.3
1.252,104.5
1.256,106.6
1.255,93.8
1.245,106.6
1.236,104.8
1.257,103.5
1.243,106.4
1.252,107.2
1.247,105.7
1.267,99.5
1.25,105.2
1.252,92.0
1.24,107.3
1.255,120.6
1.254,106.8
1.252,101.3
1.248,105.8
1.251,98.8
1.248,99.1
