33256837-B_10 98 Maq 30 Alpha 488 - S
CCH,tension
3.489,572.0
3.497,545.6
3.504,534.2
3.523,513.1
3.49,626.1
3.504,612.6
3.51,620.8
3.509,555.3
3.49,631.2
3.514,632.6
3.499,623.4
3.486,608.1
3.515,593.8
3.509,616.9
3.527,588.9
3.499,621.3
3.499,559.0
3.5,619.1
3.495,550.5
3.503,623.0
3.517,603.0
3.503,664.1
3.512,587.7
3.498,578.6
3.493,601.3
3.495,609.1
3.495,654.2
3.5,616.4
3.502,632.0
3.492,582.7
3.495,596.2
3.516,657.2
3.492,659.0
3.502,637.9
3.493,591.2
3.486,620.6
3.504,589.5
3.494,571.7
3.501,530.8
3.504,570.2
3.517,545.8
3.518,622.3
3.496,607.5
3.491,600.7
3.502,614.0
3.501,631.8
3.492,618.6
3.497,615.3
3.495,626.2
3.491,731.0
3.536,610.7
3.485,718.1
3.523,641.7
3.494,580.2
3.488,552.5
3.501,556.0
3.518,616.7
3.52,644.6
3.523,596.6
3.498,590.8
3.496,672.4
3.499,544.7
3.476,594.2
3.506,642.0
3.48,572.0
3.504,635.0
3.499,677.1
3.499,644.1
3.509,569.5
3.508,646.7
3.499,584.3
3.506,600.3
3.502,611.0
3.516,606.9
3.506,603.8
3.492,562.9
3.493,610.3
3.495,654.3
3.51,618.2
3.491,609.2
3.491,601.8
3.508,524.2
3.495,654.1
3.488,580.3
3.484,611.6
3.477,625.4
3.478,648.8
3.502,617.2
3.491,618.5
3.503,553.8
3.514,625.1
3.501,666.2
3.515,558.0
3.505,565.5
3.514,549.5
3.5,576.9
3.501,577.7
3.522,542.1
3.48,590.5
3.497,596.4
