33347930-C_0.35 12586 Maq 30 Alpha 488 - S
CCH,tension
0.795,68.6
0.794,66.5
0.794,68.2
0.798,69.1
0.794,69.3
0.804,68.3
0.792,67.6
0.804,67.8
0.8,67.9
0.801,67.3
0.804,68.3
0.796,65.9
0.801,68.9
0.803,66.2
0.804,67.9
0.795,66.7
0.792,68.0
0.8,66.9
0.797,68.2
0.806,67.1
0.801,66.6
0.799,69.5
0.804,66.9
0.804,69.2
0.802,67.7
0.803,68.4
0.806,67.1
0.8,67.6
0.803,67.0
0.803,68.1
0.799,68.1
0.796,67.1
0.802,66.9
0.797,67.7
0.802,66.5
0.796,68.3
0.804,67.6
0.805,66.9
0.797,67.1
0.801,68.3
0.8,67.7
0.796,68.1
0.805,67.7
0.803,67.0
0.802,65.7
0.798,69.5
0.797,67.2
0.804,68.7
0.806,66.7
0.796,67.7
0.801,67.8
0.798,67.8
0.799,67.1
0.8,67.1
0.802,66.2
0.801,67.6
0.801,68.0
0.801,66.7
0.8,66.8
0.801,66.7
0.8,67.4
0.799,67.2
0.796,66.2
0.799,68.6
0.8,67.6
0.796,67.2
0.795,69.5
0.797,66.9
0.804,66.9
0.801,67.1
0.806,66.4
0.796,68.4
0.805,68.5
0.802,66.5
0.8,67.2
0.795,66.3
0.799,68.8
0.797,66.9
0.799,67.6
0.803,67.8
0.798,68.1
0.798,66.6
0.798,66.1
0.801,67.8
0.801,66.9
0.793,67.0
0.796,66.7
0.796,67.4
0.797,66.9
0.803,68.9
0.801,67.8
0.793,67.4
0.791,64.9
0.797,67.8
0.805,65.6
0.804,68.6
0.803,66.9
0.802,67.5
0.798,67.8
0.797,66.5
