35072405-A_1 BN471 Maq 30 Alpha 488 - S
CCH,tension
1.101,156.7
1.101,157.6
1.097,165.7
1.106,162.0
1.103,180.5
1.099,163.2
1.095,149.9
1.097,162.9
1.105,154.8
1.103,166.7
1.103,157.7
1.104,173.7
1.1,170.0
1.102,162.4
1.102,149.3
1.097,151.6
1.098,154.1
1.099,165.8
1.096,151.6
1.105,154.9
1.104,167.4
1.102,151.3
1.098,178.0
1.098,151.6
1.094,168.2
1.102,145.6
1.104,164.8
1.096,160.2
1.105,165.2
1.104,164.2
1.103,172.2
1.104,169.8
1.104,155.0
1.102,169.7
1.099,163.8
1.104,169.0
1.087,167.0
1.105,169.4
1.105,186.5
1.096,162.6
1.101,186.7
1.1,167.8
1.099,157.5
1.105,192.2
1.099,159.6
1.093,173.1
1.096,161.5
1.102,172.4
1.097,161.7
1.096,155.8
1.103,138.7
1.107,171.7
1.101,138.6
1.114,170.5
1.1,161.4
1.098,173.6
1.093,148.7
1.1,163.4
1.104,162.8
1.093,168.8
1.095,160.2
1.107,155.3
1.091,158.4
1.094,168.6
1.108,149.6
1.092,167.3
1.107,167.7
1.107,167.1
1.1,165.0
1.088,160.7
1.109,166.1
1.1,153.0
1.11,166.4
1.102,153.9
1.103,145.7
1.098,169.4
1.106,160.4
1.103,176.0
1.093,160.0
1.09,151.9
1.103,144.2
1.101,153.6
1.103,145.0
1.107,152.4
1.099,155.2
1.09,162.9
1.105,163.5
1.1,171.8
1.107,154.3
1.111,171.9
1.089,172.8
1.105,146.8
1.109,148.5
1.104,167.4
1.103,161.9
1.097,154.4
1.101,190.6
1.107,154.1
1.102,161.6
1.099,154.7
