35091061-F_0.7 1882 Maq 30 Alpha 488 - S
CCH,tension
1.052,61.2
1.051,71.4
1.055,67.5
1.056,69.0
1.046,74.8
1.051,65.0
1.057,59.3
1.045,72.0
1.042,68.9
1.053,52.0
1.054,70.7
1.049,69.9
1.052,78.7
1.051,72.8
1.05,54.9
1.06,66.9
1.048,66.7
1.054,65.6
1.048,73.4
1.042,61.7
1.054,72.0
1.055,66.5
1.059,67.4
1.055,68.5
1.053,69.7
1.061,64.6
1.043,67.6
1.058,69.1
1.044,73.6
1.051,62.9
1.055,54.3
1.066,63.3
1.042,65.4
1.035,73.3
1.049,61.5
1.059,67.4
1.055,67.7
1.047,57.7
1.058,61.6
1.056,73.0
1.05,67.7
1.061,71.9
1.054,74.0
1.055,67.6
1.05,57.7
1.047,61.4
1.054,68.2
1.046,72.6
1.054,70.0
1.035,68.5
1.053,66.8
1.045,75.6
1.046,70.6
1.055,58.9
1.054,61.4
1.055,66.5
1.05,65.3
1.054,79.1
1.053,67.4
1.048,65.3
1.055,67.3
1.055,63.5
1.049,66.4
1.052,69.1
1.054,61.2
1.053,68.7
1.046,71.9
1.041,71.6
1.047,71.7
1.043,70.4
1.055,61.0
1.052,72.8
1.056,65.1
1.046,69.3
1.054,53.7
1.07,67.5
1.043,77.3
1.042,85.2
1.051,66.3
1.053,69.4
1.049,67.2
1.055,61.8
1.043,73.3
1.062,69.2
1.036,69.8
1.055,67.6
1.05,55.9
1.042,74.8
1.05,58.5
1.042,82.2
1.052,63.5
1.048,70.3
1.054,57.0
1.046,57.6
1.047,66.2
1.054,69.2
1.039,65.6
1.051,58.4
1.055,70.7
1.058,61.2
