35267294-D_1 1333 Maq 30 Alpha 488 - S
CCH,tension
1.104,163.5
1.098,158.6
1.11,165.7
1.099,160.1
1.099,161.2
1.099,161.2
1.101,163.8
1.107,163.3
1.096,154.2
1.105,153.9
1.096,161.2
1.095,172.3
1.09,153.9
1.101,167.4
1.102,169.9
1.099,161.8
1.09,163.5
1.108,159.1
1.101,156.7
1.117,154.7
1.102,171.3
1.103,154.2
1.102,169.5
1.11,165.5
1.1,172.4
1.109,168.1
1.098,166.6
1.099,162.5
1.102,165.2
1.1,149.8
1.095,159.2
1.094,169.5
1.101,161.9
1.101,170.3
1.11,159.7
1.103,171.0
1.097,169.2
1.109,152.2
1.098,155.4
1.087,158.7
1.109,161.3
1.108,171.1
1.098,177.3
1.094,157.8
1.095,157.9
1.11,165.0
1.108,171.0
1.103,157.2
1.095,162.8
1.106,162.6
1.096,165.8
1.099,166.3
1.108,161.9
1.095,157.7
1.087,159.4
1.097,157.3
1.09,174.0
1.099,167.9
1.09,165.0
1.099,156.9
1.108,155.7
1.1,159.6
1.109,162.4
1.101,159.8
1.093,164.6
1.107,159.0
1.097,165.1
1.094,165.2
1.102,165.0
1.106,150.9
1.091,165.9
1.098,155.5
1.087,168.2
1.096,166.2
1.108,165.0
1.11,161.7
1.106,158.3
1.096,160.6
1.104,163.3
1.098,158.7
1.1,157.0
1.092,159.6
1.105,157.0
1.104,146.8
1.095,156.4
1.104,162.3
1.103,168.9
1.109,161.9
1.105,160.9
1.084,153.9
1.102,155.6
1.111,156.5
1.1,155.3
1.104,161.1
1.105,170.5
1.103,161.4
1.1,152.7
1.086,159.3
1.103,160.0
1.103,161.9
